A2,2.0946149826,2.51522254944,0
A1,1.48469543457,-2.29923343658,0
B1,93.1670074463,-26.8149929047,0
B2,96.1207046509,-21.6820144653,0
B4,108.419174194,-18.9534893036,0
B3,103.452102661,-18.6295471191,0
B6,110.938743591,-30.696346283,0
B5,112.450439453,-25.5042915344,0
B8,98.6289825439,-34.4936523438,0
B7,103.164138794,-35.8254089355,0
C2,142.744308472,-33.3815155029,0
C1,141.794891357,-39.6862754822,0
C4,157.697723389,-27.2547664642,0
C3,153.543991089,-26.8097267151,0
C6,163.03163147,-43.3922233582,0
C5,164.455780029,-38.570930481,0
C8,146.127243042,-53.4403076172,0
C7,152.500198364,-54.9254608154,0
D2,190.350006104,-44.701751709,0
D1,188.944000244,-50.6124572754,0
D4,206.18901062,-36.5605430603,0
D3,202.00994873,-35.68957901,0
D6,213.084503174,-53.4698638916,0
D5,214.833450317,-46.6439285278,0
D8,196.553436279,-60.7358360291,0
D7,200.938705444,-61.9962081909,0
F2,130.349380493,-84.6934967041,0
F1,130.052642822,-89.6366882324,0
F4,146.833633423,-80.3285980225,0
F3,140.883285522,-79.2605895996,0
F6,157.20866394,-94.3653869629,0
F5,157.9715271,-90.8561859131,0
E2,155.841644287,15.110704422,0
E1,155.230560303,10.3699703217,0
E4,169.132873535,8.65605163574,0
E3,169.77507019,12.3193054199,0
E6,159.652145386,3.68304443359,0
E5,164.244155884,2.90319776535,0
G2,322.034484863,-52.5719566345,0
G1,324.624298096,-60.7094154358,0
G3,328.589935303,-37.9733581543,0
G4,334.015899658,-37.2482757568,0
G6,347.943908691,-52.9044494629,0
G5,345.560180664,-45.1276283264,0
G8,336.978881836,-70.3650588989,0
G7,343.176513672,-69.0838165283,0
H2,424.887695312,-18.014175415,0
H1,428.840911865,-27.7679042816,0
H4,446.373260498,11.0611038208,0
H3,437.697021484,6.86846351624,0
H6,479.321716309,-11.0840435028,0
H5,473.920501709,0.823705196381,0
H8,454.475128174,-40.1758117676,0
H7,464.737792969,-36.858997345,0
I1,551.944824219,15.6534576416,0
I2,549.736206055,22.2099456787,0
I4,560.782836914,41.9603004456,0
I3,556.363830566,39.6817550659,0
I6,567.411376953,9.30113983154,0
I5,572.935058594,10.5439872742,0
J2,404.523376465,41.7290611267,0
J1,409.118591309,32.9361763,0
J4,448.367736816,46.6210479736,0
J3,445.186309814,56.6072120667,0
J6,431.055938721,25.5782260895,0
J5,440.260742188,28.764503479,0
K2,449.188720703,-69.0798187256,0
K1,450.703826904,-78.2253494263,0
K4,468.353790283,-50.2088317871,0
K3,459.009216309,-53.5347328186,0
K6,485.270294189,-64.1933441162,0
K5,481.628509521,-55.9094924927,0